GROUPCODE	QQNUM	CAPTURE_TIME	IP	IPAREAID	CONTENT	_QUERY_MATCHTERMS	DotIP	Position
671465689	1492503343	20201003195438	608090419	341102	@[转发多条消息]群转发永久保存精品 @[转发多条消息]群转发永久保存精品 饱了	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	36.62.185.51	中国安徽省滁州市
671465689	1492503343	20201001003835	608090469	341102	@[转发多条消息]群转发永久保存精品	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	36.62.185.101	中国安徽省滁州市
671465689	1492503343	20201008182117	608090715	341102	@[转发多条消息]群转发永久保存精品 她让我跟你说	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	36.62.186.91	中国安徽省滁州市
726137724	1365943005	20201006155058	1861410412	130635	片名   性感小萝莉最爱背后位内射  点击链接播放http://videocdnbaidu.rhsj520.com/2/rnmy2/20181212/12/MIGD-695/index.m3u8  幼兽母子群883574442看新片转发永久保存	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	110.242.222.108	中国河北省保定市蠡县
807677486	1822714691	20200922112708	1903880105	371329	取消广告成功，当前无广告 上部分内容为 精品福利 中间内容为 点击播放 小尾巴内容为 小尾巴 下面部分内容为 长按可以转发 播放器广告内容为 欢迎观看 跳转链接内容为 http://baidu.com/ 跳转广告内容为 转发永久保存 无 无 无	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	113.122.231.169	中国山东省临沂市
807677486	1822714691	20200922114116	1903880105	371329	取消广告成功，当前无广告 上部分内容为 精品福利 中间内容为 点击播放 小尾巴内容为 小尾巴 下面部分内容为 长按可以转发 播放器广告内容为 欢迎观看 跳转链接内容为 http://baidu.com/ 跳转广告内容为 转发永久保存 无 无 无	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	113.122.231.169	中国山东省临沂市
807677486	1822714691	20200922114617	1903880105	371329	取消广告成功，当前无广告 上部分内容为 精品福利 中间内容为 点击播放 小尾巴内容为 小尾巴 下面部分内容为 长按可以转发 播放器广告内容为 欢迎观看 跳转链接内容为 http://baidu.com/ 跳转广告内容为 转发永久保存 无 无 无	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	113.122.231.169	中国山东省临沂市
436625385	2464262408	20201002151911	1999496568	320100	取消广告成功，当前无广告 上部分内容为 精品福利 中间内容为 点击播放 小尾巴内容为 小尾巴 下面部分内容为 长按可以转发 播放器广告内容为 欢迎观看 跳转链接内容为 http://baidu.com/ 跳转广告内容为 转发永久保存 无 无 无	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	119.45.229.120	中国江苏省南京市
436625385	2586015728	20201002151911	1999496568	320100	取消广告成功，当前无广告 上部分内容为 精品福利 中间内容为 点击播放 小尾巴内容为 小尾巴 下面部分内容为 长按可以转发 播放器广告内容为 欢迎观看 跳转链接内容为 http://baidu.com/ 跳转广告内容为 转发永久保存 无 无 无	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	119.45.229.120	中国江苏省南京市
436625385	2100452045	20201002151912	1999496568	320100	取消广告成功，当前无广告 上部分内容为 精品福利 中间内容为 点击播放 小尾巴内容为 小尾巴 下面部分内容为 长按可以转发 播放器广告内容为 欢迎观看 跳转链接内容为 http://baidu.com/ 跳转广告内容为 转发永久保存 无 无 无	13 14 3201 3403 3406 3411 3713 4406 HTTPS//URL.CN 一本道 三级 乱仑 乱伦 乱轮 人兽 人妻 偷情 制服 卵仑 口活 哟女 国产 少女 幼女 强间 撸片 无码 日韩 欧美 精品 萝莉 转发永久保存 轮奸 迷间 野战 高清	119.45.229.120	中国江苏省南京市
