groupid	id	capture_time	content	ipareaid	dotip	position	len_content	_query_matchterms
960047897	1293871119	2.0201E+13	@北京-左岸 这妞干嘛低	640000	1.50.97.30	中国宁夏回族自治区银川市	12	960047897
960047897	1293871119	2.0201E+13	@北京-左岸 你走了，妞转给我吧	640000	1.50.97.30	中国宁夏回族自治区银川市	16	960047897
960047897	1293871119	2.0201E+13	[视频]你的QQ暂不支持查看视频短片，请升级到最新版本后查看。	640000	1.50.111.186	中国宁夏回族自治区银川市	31	960047897
960047897	1293871119	2.0201E+13	大家早啊	640000	1.50.111.186	中国宁夏回族自治区银川市	4	960047897
960047897	625981988	2.02009E+13	@邋遢大王 91的地址已经丢失好久了。跪求新地址	640106	1.50.239.141	中国宁夏回族自治区银川市	24	960047897
960047897	275181798	2.0201E+13	[闪照]请使用新版手机QQ查看闪照。	230702	1.60.164.145	中国黑龙江省伊春市	18	960047897
960047897	275181798	2.0201E+13	这小女孩才十二三，已经会自慰了。。。	230702	1.60.164.145	中国黑龙江省伊春市	18	960047897
960047897	275181798	2.0201E+13	自己P的？	230702	1.60.164.145	中国黑龙江省伊春市	5	960047897
960047897	275181798	2.0201E+13	那有啥的，昨天小女孩十二岁，告诉我自慰一年了	230702	1.60.164.145	中国黑龙江省伊春市	22	960047897
870353616	184237232	2.0201E+13	@风雨无阻  你是哈尔滨的？	230102	1.62.124.39	中国黑龙江省哈尔滨市	14	870353616
1043742061	135388703	2.0201E+13	6 86eA1Ba307d316dfa7562a      50b9HIVuuWSQrvMP9D51AE6546C8F2AF0E2EFCF84862DD0241.gifA	610113	1.80.3.26	中国陕西省西安市	86	1043742061
960047897	460364789	2.02009E+13	中午时候说了感冒了，还有点发烧。聊了几句。7-8点的又聊了几句。 昨晚发微信，今天也发微信了，还打了语音电话，都没回复。 也知不道是发烧太难受了，还是兄弟我又悲剧了。	610102	1.80.133.58	中国陕西省西安市	83	960047897
960047897	460364789	2.02009E+13	我是上周在公交站搭讪了个人，加了微信之后就聊了1-2句。之后周末就没说话。 周二直接约了泡温泉，聊了几句也同意了，挺顺利就约出来了。 到了温泉那里天都黑了，没泡一会儿，就有了身体接触，我是能摸的地方的都摸了，摸她不抗拒，亲她挺抗拒的。 泡完温泉我就表示别回去了，她意思家里人等她，让她早点回去，我说那开个房完事再回去，也不行。 最后约了第二天见。 第二天先是不回消息，	610102	1.80.133.58	中国陕西省西安市	184	960047897
960047897	460364789	2.02009E+13	反正泡温泉那天已经摸了，至少不亏。	610102	1.80.133.58	中国陕西省西安市	17	960047897
960047897	460364789	2.02009E+13	就这样吧 顺其自然	610102	1.80.133.58	中国陕西省西安市	9	960047897
960047897	460364789	2.02009E+13	公共温泉 又不是私汤	610102	1.80.133.58	中国陕西省西安市	10	960047897
960047897	460364789	2.02009E+13	扣的时候稍微有点抵触了	610102	1.80.133.58	中国陕西省西安市	11	960047897
960047897	460364789	2.02009E+13	就伸进去扣了一下	610102	1.80.133.58	中国陕西省西安市	8	960047897
960047897	1909811782	2.02009E+13	不要告诉哥们，告诉哥们媳妇	610102	1.80.135.241	中国陕西省西安市	13	960047897
960047897	1909811782	2.02009E+13	然后再去宽慰她	610102	1.80.135.241	中国陕西省西安市	7	960047897
960047897	1574170697	2.0201E+13	6 86eA1B923da9827b964caa      50KHSjuEearwd8hAZ9B384ADDC751DDA03BA74183885F7959F.jpgA	610113	1.80.139.1	中国陕西省西安市	86	960047897
960047897	1574170697	2.0201E+13	各位兄弟棒棒忙，推广一下，换手机了，增加一下观看时间，加速器还是很好用的，自带很多网站跟软件，没有的可以试试看。	610113	1.80.139.1	中国陕西省西安市	56	960047897
