GROUPID	USERID	APPID	CAPTURE_TIME	CLIENTIP	CONTENT	_QUERY_MATCHTERMS	IPAREAID	DotIP	Position
20248175302	914973284	wxid_4hrpxngpg6yh22	2.02009E+13	827185756	@管理 小五 我在	827185756	320102	49.77.218.92	中国江苏省南京市
19093818321	920855680	huangdehualxh	2.02009E+13	827185756	晕	827185756	320102	49.77.218.92	中国江苏省南京市
20146387548	2538310841	wxid_ctk30pj7ssat22	2.02009E+13	827185756	三楼商务房房号    订位人     消费      外调555      赵   阳     4023        7999      黄得华    9580        3三楼生日房666    无布置            蛋糕自带888    布置费800     蛋糕自带	827185756	320102	49.77.218.92	中国江苏省南京市
19093818321	920855680	huangdehualxh	2.02009E+13	827185756	下次我让你喝个够	827185756	320102	49.77.218.92	中国江苏省南京市
19864586581	1275117780	maruofei521	2.02009E+13	827185756	截止12点一楼共16间房已开房13间空3间	827185756	320102	49.77.218.92	中国江苏省南京市
19093818321	920855680	huangdehualxh	2.02009E+13	827185756	是的	827185756	320102	49.77.218.92	中国江苏省南京市
20146387548	1507523863	wxid_scx2yupqglp321	2.02009E+13	827185756	二楼区域：包间     定位人      消费    外调v05       黄德华     5837      4202       李正江     1690      1203       赵阳         4460     5207       梁凤         1590      1209       陈婕         1958      1v08       魏欢         3680     4v07       魏欢         30530   3二楼生日房：M02-无布置-蛋糕自带	827185756	320102	49.77.218.92	中国江苏省南京市
19864586581	2538310841	wxid_ctk30pj7ssat22	2.02009E+13	827185756	截止12点  三楼共7间开台6间空1间	827185756	320102	49.77.218.92	中国江苏省南京市
19124506193	852398140	benzbw518	2.02009E+13	827185756	问巴黎	827185756	320102	49.77.218.92	中国江苏省南京市
18677929186	1217054341	laoluo3222	2.02009E+13	827185756	嗯嗯	827185756	320102	49.77.218.92	中国江苏省南京市
22521181320	1889603134	wxid_1yduty38kuoq12	2.02009E+13	827185756	v08打招呼	827185756	320102	49.77.218.92	中国江苏省南京市
19124506193	852398140	benzbw518	2.02009E+13	827185756	阿立	827185756	320102	49.77.218.92	中国江苏省南京市
18115007759	419940000	hanshijieaiwangyux	2.02009E+13	827185756	😂😂😂	827185756	320102	49.77.218.92	中国江苏省南京市
19093818321	920855680	huangdehualxh	2.02009E+13	827185756	怎么聚？	827185756	320102	49.77.218.92	中国江苏省南京市
19093818321	920855680	huangdehualxh	2.02009E+13	827185756	能带上我吗	827185756	320102	49.77.218.92	中国江苏省南京市
10801189770	1130280984	wxid_y2mahdrvbs6212	2.02009E+13	827185756	哈哈哈笑死我了	827185756	320102	49.77.218.92	中国江苏省南京市
20146387548	1275117780	maruofei521	2.02009E+13	827185756	一楼商务房房号   定位人  消费    外调108     赵阳   3190      3107    卓林    2950       3112     梁凤    4815      4102    梁凤     3110      1101     魏欢     2580     3v03    陈俊杰   3276   3一楼生日房m01-800布置-自带蛋糕108-无布置-自带蛋糕	827185756	320102	49.77.218.92	中国江苏省南京市
10801189770	1130280984	wxid_y2mahdrvbs6212	2.02009E+13	827185756	肚子笑疼了	827185756	320102	49.77.218.92	中国江苏省南京市
20146387548	157910960	wxid_yye9w49rd20022	2.02009E+13	827185756	@Peter m02客人喝解酒药 那股浓重的味道都带到二楼大厅了！已喷空气清新剂	827185756	320102	49.77.218.92	中国江苏省南京市
18677929186	1217054341	laoluo3222	2.02009E+13	827185756	别来了，思密达	827185756	320102	49.77.218.92	中国江苏省南京市
19864586581	1507523863	wxid_scx2yupqglp321	2.02009E+13	827185756	截止12点  二楼共20间开台14间空6间	827185756	320102	49.77.218.92	中国江苏省南京市
18677929186	1217054341	laoluo3222	2.02009E+13	827185756	下次照顾好你们	827185756	320102	49.77.218.92	中国江苏省南京市
